time,elapsed_s,profile,process_name,pid,unused,server_working_mib,server_private_mib,client_working_mib,client_private_mib,server_peak_private_mib,client_peak_private_mib,sent_total,sent_avg_pps
2026-04-24T22:19:41,0.00,monitor,aggregate,,,,0.0,,0.0,,,,
2026-04-24T22:19:42,1.22,monitor,aggregate,,,,0.0,,0.0,,,,
